Date,TimeStamp,HK_id,PinPullerTemp,OpticsTemp,LEXIbaseTemp,HVsupplyTemp,+5.2V_Imon,+10V_Imon,+3.3V_Imon,AnodeVoltMon,+28V_Imon,ADC_Ground,Cmd_count,Pinpuller_Armed,Unused1,Unused2,HVmcpAuto,HVmcpMan,DeltaEvntCount,DeltaDroppedCount,DeltaLostEvntCount,utc_time,local_time
2024-01-26 05:10:48.980100+00:00,1862.999,2.0,,,21.156,,,,,,,,,,,,,,1.0,0.0,0.0,2023-03-09 15:14:25.317510000,2023-03-09 10:14:25.317510000
2024-01-26 05:10:49.987900+00:00,1863.999,3.0,,,21.156,21.707,,,,,,,,,,,,,1.0,0.0,0.0,2023-03-09 15:14:26.325310000,2023-03-09 10:14:26.325310000
2024-01-26 05:10:50.979050+00:00,1864.999,4.0,,,21.156,21.707,66.898,,,,,,,,,,,,1.0,0.0,0.0,2023-03-09 15:14:27.316460001,2023-03-09 10:14:27.316460001
2024-01-26 05:10:51.987550+00:00,1865.999,5.0,,,21.156,21.707,66.898,0.152,,,,,,,,,,,1.0,0.0,0.0,2023-03-09 15:14:28.324960000,2023-03-09 10:14:28.324960000
2024-01-26 05:10:52.994750+00:00,1866.999,6.0,,,21.156,21.707,66.898,0.152,23.064,,,,,,,,,,1.0,0.0,0.0,2023-03-09 15:14:29.332160000,2023-03-09 10:14:29.332160000
2024-01-26 05:10:53.987250+00:00,1867.999,7.0,,,21.156,21.707,66.898,0.152,23.064,0.003,,,,,,,,,1.0,0.0,0.0,2023-03-09 15:14:30.324660001,2023-03-09 10:14:30.324660001
2024-01-26 05:10:54.994400+00:00,1868.999,8.0,,,21.156,21.707,66.898,0.152,23.064,0.003,43.527,,,,,,,,1.0,0.0,0.0,2023-03-09 15:14:31.331810000,2023-03-09 10:14:31.331810000
2024-01-26 05:10:55.986900+00:00,1869.999,9.0,,,21.156,21.707,66.898,0.152,23.064,0.003,43.527,0.0,,,,,,,1.0,0.0,0.0,2023-03-09 15:14:32.324310000,2023-03-09 10:14:32.324310000
2024-01-26 05:10:56.994725+00:00,1870.999,10.0,,,21.156,21.707,66.898,0.152,23.064,0.003,43.527,0.0,0.0,,,,,,1.0,0.0,0.0,2023-03-09 15:14:33.332135000,2023-03-09 10:14:33.332135000
2024-01-26 05:10:57.986575+00:00,1871.999,11.0,,,21.156,21.707,66.898,0.152,23.064,0.003,43.527,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2023-03-09 15:14:34.323985000,2023-03-09 10:14:34.323985000
2024-01-26 05:10:58.993900+00:00,1872.999,0.0,20.936,,21.156,21.707,66.898,0.152,23.064,0.003,43.527,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2023-03-09 15:14:35.331310000,2023-03-09 10:14:35.331310000
2024-01-26 05:10:59.986250+00:00,1873.999,1.0,20.936,-268.042,21.156,21.707,66.898,0.152,23.064,0.003,43.527,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2023-03-09 15:14:36.323660000,2023-03-09 10:14:36.323660000
2024-01-26 05:11:00.993650+00:00,1874.999,2.0,20.936,-268.042,21.156,21.707,66.898,0.152,23.064,0.003,43.527,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2023-03-09 15:14:37.331060000,2023-03-09 10:14:37.331060000
2024-01-26 05:11:01.985900+00:00,1875.999,3.0,20.936,-268.042,21.156,21.707,66.898,0.152,23.064,0.003,43.527,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2023-03-09 15:14:38.323310000,2023-03-09 10:14:38.323310000
2024-01-26 05:11:02.993575+00:00,1876.999,4.0,20.936,-268.042,21.156,21.707,66.653,0.152,23.064,0.003,43.527,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2023-03-09 15:14:39.330985000,2023-03-09 10:14:39.330985000
2024-01-26 05:11:03.985600+00:00,1877.999,5.0,20.936,-268.042,21.156,21.707,66.653,0.151,23.064,0.003,43.527,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2023-03-09 15:14:40.323010000,2023-03-09 10:14:40.323010000
2024-01-26 05:11:04.993425+00:00,1878.999,6.0,20.936,-268.042,21.156,21.707,66.653,0.151,22.944,0.003,43.527,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2023-03-09 15:14:41.330835000,2023-03-09 10:14:41.330835000
2024-01-26 05:11:05.985250+00:00,1879.999,7.0,20.936,-268.042,21.156,21.707,66.653,0.151,22.944,0.003,43.527,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2023-03-09 15:14:42.322660000,2023-03-09 10:14:42.322660000
2024-01-26 05:11:06.993100+00:00,1880.999,8.0,20.936,-268.042,21.156,21.707,66.653,0.151,22.944,0.003,43.343,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2023-03-09 15:14:43.330510000,2023-03-09 10:14:43.330510000
2024-01-26 05:11:07.984925+00:00,1881.999,9.0,20.936,-268.042,21.156,21.707,66.653,0.151,22.944,0.003,43.343,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2023-03-09 15:14:44.322335000,2023-03-09 10:14:44.322335000
2024-01-26 05:11:08.992750+00:00,1882.999,10.0,20.936,-268.042,21.156,21.707,66.653,0.151,22.944,0.003,43.343,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2023-03-09 15:14:45.330160000,2023-03-09 10:14:45.330160000
2024-01-26 05:11:09.984600+00:00,1883.999,11.0,20.936,-268.042,21.156,21.707,66.653,0.151,22.944,0.003,43.343,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2023-03-09 15:14:46.322010000,2023-03-09 10:14:46.322010000
2024-01-26 05:11:10.992425+00:00,1884.999,0.0,20.936,-268.042,21.156,21.707,66.653,0.151,22.944,0.003,43.343,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2023-03-09 15:14:47.329835000,2023-03-09 10:14:47.329835000
2024-01-26 05:11:11.984325+00:00,1885.999,1.0,20.936,-268.152,21.156,21.707,66.653,0.151,22.944,0.003,43.343,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2023-03-09 15:14:48.321735000,2023-03-09 10:14:48.321735000
2024-01-26 05:11:12.992175+00:00,1886.999,2.0,20.936,-268.152,21.156,21.707,66.653,0.151,22.944,0.003,43.343,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2023-03-09 15:14:49.329585000,2023-03-09 10:14:49.329585000
2024-01-26 05:11:13.984000+00:00,1887.999,3.0,20.936,-268.152,21.156,21.707,66.653,0.151,22.944,0.003,43.343,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2023-03-09 15:14:50.321410000,2023-03-09 10:14:50.321410000
2024-01-26 05:11:14.991825+00:00,1888.999,4.0,20.936,-268.152,21.156,21.707,66.776,0.151,22.944,0.003,43.343,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2023-03-09 15:14:51.329235000,2023-03-09 10:14:51.329235000
2024-01-26 05:11:15.983675+00:00,1889.999,5.0,20.936,-268.152,21.156,21.707,66.776,0.151,22.944,0.003,43.343,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2023-03-09 15:14:52.321085000,2023-03-09 10:14:52.321085000
2024-01-26 05:11:16.991350+00:00,1890.999,6.0,20.936,-268.152,21.156,21.707,66.776,0.151,23.064,0.003,43.343,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2023-03-09 15:14:53.328760000,2023-03-09 10:14:53.328760000
2024-01-26 05:11:17.983375+00:00,1891.999,7.0,20.936,-268.152,21.156,21.707,66.776,0.151,23.064,0.003,43.343,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2023-03-09 15:14:54.320785000,2023-03-09 10:14:54.320785000
2024-01-26 05:11:18.991175+00:00,1892.999,8.0,20.936,-268.152,21.156,21.707,66.776,0.151,23.064,0.003,43.465,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2023-03-09 15:14:55.328585001,2023-03-09 10:14:55.328585001
2024-01-26 05:11:19.983000+00:00,1893.999,9.0,20.936,-268.152,21.156,21.707,66.776,0.151,23.064,0.003,43.465,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2023-03-09 15:14:56.320410000,2023-03-09 10:14:56.320410000
2024-01-26 05:11:20.990850+00:00,1894.999,10.0,20.936,-268.152,21.156,21.707,66.776,0.151,23.064,0.003,43.465,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2023-03-09 15:14:57.328260000,2023-03-09 10:14:57.328260000
2024-01-26 05:11:21.982675+00:00,1895.999,11.0,20.936,-268.152,21.156,21.707,66.776,0.151,23.064,0.003,43.465,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2023-03-09 15:14:58.320085000,2023-03-09 10:14:58.320085000
2024-01-26 05:11:22.990475+00:00,1896.999,0.0,20.936,-268.152,21.156,21.707,66.776,0.151,23.064,0.003,43.465,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2023-03-09 15:14:59.327885000,2023-03-09 10:14:59.327885000
2024-01-26 05:11:23.982375+00:00,1897.999,1.0,20.936,-267.932,21.156,21.707,66.776,0.151,23.064,0.003,43.465,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2023-03-09 15:15:00.319785000,2023-03-09 10:15:00.319785000
2024-01-26 05:11:24.990200+00:00,1898.999,2.0,20.936,-267.932,21.156,21.707,66.776,0.151,23.064,0.003,43.465,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2023-03-09 15:15:01.327610000,2023-03-09 10:15:01.327610000
2024-01-26 05:11:25.982025+00:00,1899.999,3.0,20.936,-267.932,21.156,21.707,66.776,0.151,23.064,0.003,43.465,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2023-03-09 15:15:02.319435000,2023-03-09 10:15:02.319435000
2024-01-26 05:11:26.989875+00:00,1900.999,4.0,20.936,-267.932,21.156,21.707,67.143,0.151,23.064,0.003,43.465,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2023-03-09 15:15:03.327285000,2023-03-09 10:15:03.327285000
2024-01-26 05:11:27.981700+00:00,1901.999,5.0,20.936,-267.932,21.156,21.707,67.143,0.151,23.064,0.003,43.465,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2023-03-09 15:15:04.319110000,2023-03-09 10:15:04.319110000
