Date,TimeStamp,IsCommanded,Channel1,Channel2,Channel3,Channel4,x_val,x_val_lin,x_mcp,x_mcp_lin,v1_shift,v3_shift,y_val,y_val_lin,y_mcp,y_mcp_lin,v4_shift,v2_shift
2024-01-26 05:10:48.980100+00:00,1862.999,True,1.064,1.098,1.137,1.128,0.997,1.061,35.555,40.647,0.004,1.137,0.493,0.604,-5.544,3.117,1.128,1.098
2024-01-26 05:10:49.987900+00:00,1863.999,True,1.064,1.098,1.137,1.128,0.997,1.061,35.555,40.646,0.004,1.137,0.493,0.604,-5.548,3.112,1.128,1.098
2024-01-26 05:10:50.995475+00:00,1864.999,True,1.064,1.098,1.137,1.128,0.997,1.062,35.559,40.652,0.004,1.137,0.493,0.604,-5.544,3.118,1.128,1.098
2024-01-26 05:10:51.987550+00:00,1865.999,True,1.064,1.098,1.137,1.128,0.997,1.062,35.559,40.652,0.004,1.137,0.493,0.604,-5.544,3.118,1.128,1.098
2024-01-26 05:10:52.999925+00:00,1866.999,True,1.064,1.098,1.137,1.128,0.997,1.062,35.564,40.656,0.004,1.137,0.493,0.604,-5.544,3.118,1.128,1.098
2024-01-26 05:10:53.987275+00:00,1867.999,True,1.064,1.098,1.137,1.128,0.997,1.062,35.564,40.656,0.004,1.137,0.493,0.604,-5.546,3.116,1.128,1.098
2024-01-26 05:10:54.999600+00:00,1868.999,True,1.064,1.098,1.137,1.128,0.997,1.061,35.555,40.646,0.004,1.137,0.493,0.604,-5.548,3.112,1.128,1.098
2024-01-26 05:10:55.986900+00:00,1869.999,True,1.064,1.098,1.137,1.127,0.997,1.062,35.574,40.665,0.004,1.137,0.493,0.604,-5.545,3.118,1.127,1.098
2024-01-26 05:10:56.994725+00:00,1870.999,True,1.064,1.098,1.137,1.128,0.997,1.062,35.564,40.656,0.004,1.137,0.493,0.604,-5.544,3.118,1.128,1.098
2024-01-26 05:10:57.986575+00:00,1871.999,True,1.064,1.098,1.137,1.128,0.997,1.061,35.555,40.647,0.004,1.137,0.493,0.604,-5.544,3.117,1.128,1.098
2024-01-26 05:10:58.999150+00:00,1872.999,True,1.064,1.098,1.137,1.128,0.997,1.062,35.564,40.656,0.004,1.137,0.493,0.604,-5.547,3.115,1.128,1.098
2024-01-26 05:10:59.986250+00:00,1873.999,True,1.064,1.098,1.137,1.127,0.997,1.061,35.555,40.647,0.004,1.137,0.493,0.604,-5.544,3.117,1.127,1.098
2024-01-26 05:11:00.993750+00:00,1874.999,True,1.064,1.098,1.137,1.128,0.997,1.062,35.574,40.665,0.004,1.137,0.493,0.604,-5.546,3.117,1.128,1.098
2024-01-26 05:11:01.985925+00:00,1875.999,True,1.064,1.098,1.137,1.128,0.997,1.061,35.55,40.642,0.004,1.137,0.493,0.604,-5.544,3.117,1.128,1.098
2024-01-26 05:11:02.993600+00:00,1876.999,True,1.064,1.099,1.137,1.127,0.997,1.061,35.55,40.643,0.004,1.137,0.494,0.604,-5.537,3.123,1.127,1.099
2024-01-26 05:11:03.985600+00:00,1877.999,True,1.064,1.098,1.137,1.128,0.997,1.062,35.564,40.655,0.004,1.137,0.493,0.604,-5.548,3.114,1.128,1.098
2024-01-26 05:11:04.993450+00:00,1878.999,True,1.064,1.098,1.137,1.128,0.997,1.062,35.559,40.651,0.004,1.137,0.493,0.604,-5.548,3.113,1.128,1.098
2024-01-26 05:11:05.985250+00:00,1879.999,True,1.064,1.098,1.137,1.128,0.997,1.062,35.564,40.656,0.004,1.137,0.493,0.604,-5.544,3.118,1.128,1.098
2024-01-26 05:11:06.993125+00:00,1880.999,True,1.064,1.098,1.137,1.128,0.997,1.062,35.559,40.651,0.004,1.137,0.493,0.604,-5.547,3.114,1.128,1.098
2024-01-26 05:11:07.984925+00:00,1881.999,True,1.064,1.098,1.137,1.128,0.997,1.061,35.555,40.646,0.004,1.137,0.493,0.604,-5.551,3.11,1.128,1.098
2024-01-26 05:11:08.992750+00:00,1882.999,True,1.064,1.098,1.137,1.128,0.997,1.061,35.555,40.647,0.004,1.137,0.493,0.604,-5.545,3.116,1.128,1.098
2024-01-26 05:11:09.984625+00:00,1883.999,True,1.064,1.098,1.137,1.128,0.997,1.062,35.574,40.665,0.004,1.137,0.493,0.604,-5.545,3.118,1.128,1.098
2024-01-26 05:11:10.992450+00:00,1884.999,True,1.064,1.098,1.137,1.128,0.997,1.062,35.569,40.66,0.004,1.137,0.493,0.604,-5.547,3.115,1.128,1.098
2024-01-26 05:11:11.984350+00:00,1885.999,True,1.064,1.098,1.137,1.128,0.997,1.062,35.574,40.666,0.004,1.137,0.493,0.604,-5.541,3.122,1.128,1.098
2024-01-26 05:11:12.992175+00:00,1886.999,True,1.064,1.098,1.137,1.128,0.997,1.061,35.555,40.647,0.004,1.137,0.493,0.604,-5.544,3.117,1.128,1.098
